query_item,recommendation_item,score,rank,recommendation_theme,model_version,created_at
105,195,0.9374031,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
106,201,0.93139786,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
106,103,0.925214,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
106,119,0.9242456,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
107,94,0.8659239,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
107,46,0.7824842,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
107,21,0.7821927,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
108,84,0.952416,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
108,59,0.9440318,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
108,181,0.9291773,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
109,47,0.94343597,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
109,77,0.93962544,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
109,197,0.9384428,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
110,185,0.9428795,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
110,119,0.93408537,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
110,204,0.93402326,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
111,211,0.9698661,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
111,103,0.94277275,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
111,208,0.9390049,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
112,41,0.95402205,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
112,135,0.9486281,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
112,170,0.942373,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
113,139,0.9374303,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
113,198,0.929947,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
113,11,0.92859465,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
114,209,1.0,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
114,47,0.95146275,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
114,49,0.943758,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
115,128,0.9874613,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
115,77,0.98651737,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
115,197,0.98557127,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
116,123,0.9307825,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
116,173,0.91230494,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
116,163,0.89155775,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
117,70,0.9305145,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
117,42,0.92509234,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
117,198,0.92239684,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
118,14,0.94749784,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
118,139,0.92503035,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
118,132,0.9234678,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
119,176,0.9610836,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
